uuid,country,source,source_school_id,school_name,latitude,longitude,dq_score,student_count,computer_availability,school_type,school_region,internet_availability,internet_speed_Mbps,region,region_code,state,state_code,city,city_code,internet_availability_prediction
7b93e086-49ac-3157-972d-a155450c0228,Brazil,government,26000024,ESCOLA DE REFERENCIA EM ENSINO MEDIO LUIZ GONZAGA DUARTE,-7.5774,-40.5062,1.0,740,Yes,Estadual,Urban,Yes,2.0,Nordeste,2,Pernambuco,26,Araripina,2601102,Yes
69032542-fddf-3d7e-80d5-74b13ef54696,Brazil,government,26000032,CRECHE CORACAO DE MARIA,-7.5856,-40.5043,1.0,98,No,Municipal,Urban,No,0.0,Nordeste,2,Pernambuco,26,Araripina,2601102,No
7da1bbdf-57c5-3812-b33f-bc979d125412,Brazil,government,26000075,ESCOLA ALMEIDA JUNIOR,-7.5801,-40.5057,1.0,0,,Municipal,Rural,,,Nordeste,2,Pernambuco,26,Araripina,2601102,No
cea47307-9eed-38cf-b955-349190b76648,Brazil,government,26000105,ESCOLA ANTONIETA SALATIEL ALENCAR ARRAES,-7.5801,-40.5057,0.67,406,No,Municipal,Urban,Yes,5.0,Nordeste,2,Pernambuco,26,Araripina,2601102,Yes
19ca1b0d-8722-3da8-9202-ec9cdf2014b1,Brazil,government,26000121,ESCOLA ANTONIO CANDIDO DE ALENCAR,-7.4087,-40.5052,1.0,56,No,Municipal,Rural,No,0.0,Nordeste,2,Pernambuco,26,Araripina,2601102,No
8c4c6e16-1e37-34ec-9329-1f9d509c7eca,Brazil,government,26000130,ESCOLA ANTONIO FELIX DE ANDRADE,-7.5188,-40.5268,1.0,23,No,Municipal,Rural,No,0.0,Nordeste,2,Pernambuco,26,Araripina,2601102,No
5b2ca496-39ba-39be-96c7-5548034a0517,Brazil,government,26000156,ESCOLA ANTONIO MARTINS DE ALENCAR,-7.5801,-40.5057,1.0,0,,Municipal,Rural,,,Nordeste,2,Pernambuco,26,Araripina,2601102,No
6379f7e2-56d0-39dc-af85-58534a4e0667,Brazil,government,26000180,ESCOLA BOAVENTURA PRAXEDES ALENCAR,-7.5586,-40.4477,1.0,58,No,Municipal,Rural,No,0.0,Nordeste,2,Pernambuco,26,Araripina,2601102,No
0f73177a-4986-319f-b7e2-64b5bd25b00d,Brazil,government,26000199,ESCOLA BOM JESUS DA LAPA,-7.8086,-40.4865,1.0,357,No,Municipal,Rural,Yes,5.0,Nordeste,2,Pernambuco,26,Araripina,2601102,Yes
260c395e-f573-3ff8-bc9e-3e10b8b0f471,Brazil,government,26000202,ESCOLA BOM JESUS DOS PASSOS,-7.7941,-40.4175,1.0,69,No,Municipal,Rural,No,0.0,Nordeste,2,Pernambuco,26,Araripina,2601102,No
3ad08ddd-7cf0-3f9e-b73d-86d9fb570fa1,Brazil,government,26000253,ESCOLA CRECHE TIA DIONEA,-7.5722,-40.4972,1.0,348,No,Municipal,Urban,Yes,5.0,Nordeste,2,Pernambuco,26,Araripina,2601102,Yes
c76fd168-b215-3ed7-8d84-ea6a95a13da7,Brazil,government,26000261,ESCOLA DA INDEPENDENCIA,-7.5768,-40.5014,1.0,1452,Yes,Estadual,Urban,Yes,5.0,Nordeste,2,Pernambuco,26,Araripina,2601102,Yes
544fcd5a-594c-388d-b49e-c9ebf518f630,Brazil,government,26000270,ESCOLA DA MACONARIA,-7.5764,-40.5021,1.0,156,No,Municipal,Urban,Yes,5.0,Nordeste,2,Pernambuco,26,Araripina,2601102,Yes
73bb4fd1-f952-3924-901e-c242d33d12e0,Brazil,government,26000288,ESCOLA DIONISIO DE DEUS LIMA,-7.5323,-40.6305,1.0,62,No,Municipal,Rural,No,0.0,Nordeste,2,Pernambuco,26,Araripina,2601102,No
b1e344ef-8f2d-3dfb-ad2a-56e251a8d649,Brazil,government,26000296,ESCOLA DO IPA,-7.4591,-40.4156,1.0,219,Yes,Municipal,Rural,Yes,5.0,Nordeste,2,Pernambuco,26,Araripina,2601102,Yes
ef3e2d71-a413-3e5c-8288-964a3d2444f4,Brazil,government,26000300,ESCOLA PEDRO BARRETO DE ALENCAR,-7.5801,-40.5057,1.0,0,,Municipal,Rural,,,Nordeste,2,Pernambuco,26,Araripina,2601102,No
f423afaa-4b49-3627-80dc-59110e99594e,Brazil,government,26000350,ESCOLA GENESIO ALMEIDA,-7.5801,-40.5057,1.0,0,,Municipal,Rural,,,Nordeste,2,Pernambuco,26,Araripina,2601102,No
df77a72b-307d-3f91-85c9-34ff2977a90a,Brazil,government,26000377,ESCOLA HENRIQUE ALVES BATISTA,-7.5801,-40.5057,0.67,73,No,Municipal,Rural,No,0.0,Nordeste,2,Pernambuco,26,Araripina,2601102,No
6b1828f9-289b-30d0-b24a-db3ee74e8a2c,Brazil,government,26000385,ESCOLA HENRIQUE DIAS,-7.5323,-40.6304,1.0,42,No,Municipal,Rural,No,0.0,Nordeste,2,Pernambuco,26,Araripina,2601102,No
13580d53-cb01-31f2-99f8-7511f093fada,Brazil,government,26000393,ESCOLA HONORATO JORDAO PEREIRA,-7.7325,-40.4788,1.0,128,No,Municipal,Rural,Yes,5.0,Nordeste,2,Pernambuco,26,Araripina,2601102,Yes
d9b20631-f534-3bdf-938c-a3d602e7ebd8,Brazil,government,26000407,ESCOLA HONORIO MARTINS DE ALENCAR,-7.5801,-40.5057,0.67,48,No,Municipal,Rural,No,0.0,Nordeste,2,Pernambuco,26,Araripina,2601102,No
9dbedff0-ea5f-3134-b792-4ec9d3dcb9d4,Brazil,government,26000431,ESCOLA JARBAS PASSARINHO,-7.5802,-40.5057,0.67,126,No,Municipal,Rural,Yes,5.0,Nordeste,2,Pernambuco,26,Araripina,2601102,No
4cdd8448-13ec-3175-9698-3ecd270024b5,Brazil,government,26000474,ESCOLA JOAO JACO DE SOUZA,-7.5752,-40.497,0.94,45,No,Municipal,Rural,Yes,5.0,Nordeste,2,Pernambuco,26,Araripina,2601102,No
31e35ce3-a51d-37ea-a4e7-7950090315c2,Brazil,government,26000482,ESCOLA JOAO RODRIGUES DE ALENCAR,-7.448,-40.6577,0.94,290,No,Municipal,Rural,Yes,5.0,Nordeste,2,Pernambuco,26,Araripina,2601102,Yes
1af46ae6-dd24-3f7a-b783-70ec57aaa82d,Brazil,government,26000504,ESCOLA JOAQUIM NONATO DE ANDRADE,-7.5801,-40.5057,0.67,42,No,Municipal,Rural,No,0.0,Nordeste,2,Pernambuco,26,Araripina,2601102,No
0b3fb701-a4f4-332e-8831-fbeaa2312f14,Brazil,government,26000539,ESCOLA JOSE BATISTA MODESTO,-7.6158,-40.5653,1.0,294,No,Municipal,Rural,Yes,5.0,Nordeste,2,Pernambuco,26,Araripina,2601102,Yes
de3b80a4-c3f6-341f-aef8-8177d174b4d5,Brazil,government,26000547,ESCOLA JOSE DA SILVA MODESTO,-7.5801,-40.5057,1.0,0,,Municipal,Rural,,,Nordeste,2,Pernambuco,26,Araripina,2601102,No
8ef473e7-e390-3d2e-8449-3a35dfd7a000,Brazil,government,26000555,ESCOLA JOSE FERREIRA LOPES,-7.5802,-40.5057,0.67,201,Yes,Municipal,Urban,Yes,5.0,Nordeste,2,Pernambuco,26,Araripina,2601102,Yes
4959f4cf-2481-3891-9358-3892698bf30d,Brazil,government,26000580,ESCOLA JOSE LOPES DA SILVA,-7.5801,-40.5057,1.0,0,,Municipal,Rural,,,Nordeste,2,Pernambuco,26,Araripina,2601102,No
a83cd91c-c229-3867-b3d9-35ee45740535,Brazil,government,26000601,ESCOLA LAGOA FECHADA,-7.8132,-40.4484,1.0,14,No,Municipal,Rural,No,0.0,Nordeste,2,Pernambuco,26,Araripina,2601102,No
2d5c1e5a-08dc-3cc2-8f5d-1c4c3d153eb6,Brazil,government,26000628,ESCOLA MANOEL JACO DE SOUSA,-7.4834,-40.5388,1.0,62,No,Municipal,Rural,No,0.0,Nordeste,2,Pernambuco,26,Araripina,2601102,No
4c0599e2-6f51-35c7-aead-f24f48ba95c8,Brazil,government,26000636,ESCOLA MANOEL RIBEIRO DAMASCENO,-7.8066,-40.4869,1.0,1175,No,Estadual,Urban,Yes,5.0,Nordeste,2,Pernambuco,26,Araripina,2601102,Yes
0fdfa5a6-fc4f-3601-a18b-218a50aa28ca,Brazil,government,26000652,ESCOLA MARTINS JOSE DE ALENCAR,-7.4653,-40.5131,1.0,63,No,Municipal,Rural,No,0.0,Nordeste,2,Pernambuco,26,Araripina,2601102,No
0726a0fb-ffa7-3bb9-9535-da275f3ea03b,Brazil,government,26000687,ESCOLA NOSSA SENHORA DA CONCEICAO,-7.6035,-40.4975,1.0,323,No,Municipal,Urban,No,0.0,Nordeste,2,Pernambuco,26,Araripina,2601102,No
13ff31ca-6542-3601-9090-44e0ea83241a,Brazil,government,26000695,ESCOLA NOVA MARAVILHA,-7.5801,-40.5057,1.0,0,,Municipal,Rural,,,Nordeste,2,Pernambuco,26,Araripina,2601102,No
d45d1c0b-54fd-3a3c-9d7b-9ec935f244e0,Brazil,government,26000717,ESCOLA PASCOAL JOSE DE BARROS,-7.4579,-40.5962,1.0,43,No,Municipal,Rural,No,0.0,Nordeste,2,Pernambuco,26,Araripina,2601102,No
29ddff00-103b-3cef-ba19-d08ac92d1655,Brazil,government,26000725,ESCOLA PAULO BATISTA MODESTO,-7.5801,-40.5057,1.0,0,,Municipal,Rural,,,Nordeste,2,Pernambuco,26,Araripina,2601102,No
c4f8f726-b6e8-3441-9573-0ebe45156671,Brazil,government,26000741,ESCOLA DE REFERENCIA EM ENSINO MEDIO PADRE LUIZ GONZAGA,-7.5754,-40.499,0.94,725,Yes,Estadual,Urban,Yes,2.0,Nordeste,2,Pernambuco,26,Araripina,2601102,Yes
fd5d7bbb-ca82-39c3-aa9a-fd66d27bef8c,Brazil,government,26000768,ESCOLA PROCOPIO JOSE MODESTO,-7.5752,-40.4971,0.67,34,No,Municipal,Rural,No,0.0,Nordeste,2,Pernambuco,26,Araripina,2601102,No
54f8a92b-600d-376f-83b9-e2ed0995685d,Brazil,government,26000792,ESCOLA PROFESSOR MANOEL BONIFACIO COSTA,-7.5837,-40.5007,1.0,1153,Yes,Estadual,Urban,Yes,5.0,Nordeste,2,Pernambuco,26,Araripina,2601102,Yes
41dab356-5b9f-3833-b7ce-3b836822b10b,Brazil,government,26000806,ESCOLA PROFESSORA PRAXEDES ALVES DE SOUZA,-7.5752,-40.4971,0.67,36,No,Municipal,Rural,No,0.0,Nordeste,2,Pernambuco,26,Araripina,2601102,No
7c7e6f82-2e32-396c-acc3-f22f0c29faab,Brazil,government,26000849,ESCOLA ANTONIO BRAZ SOBRINHO,-7.6292,-40.4751,1.0,152,No,Municipal,Rural,No,0.0,Nordeste,2,Pernambuco,26,Araripina,2601102,No
033254b9-8fff-3780-ac3c-6d98e643e8d8,Brazil,government,26000873,ESCOLA SERRA DO APERTO,-7.5801,-40.5057,0.67,80,No,Municipal,Rural,No,0.0,Nordeste,2,Pernambuco,26,Araripina,2601102,No
2722d31c-9509-3d32-b7af-41b6a6a61595,Brazil,government,26000881,ESCOLA SERRA DO SANTINO,-7.5801,-40.5057,0.67,109,No,Municipal,Rural,No,0.0,Nordeste,2,Pernambuco,26,Araripina,2601102,No
6df44645-0740-3fb0-aa3f-762213b59f30,Brazil,government,26000890,ESCOLA MUNICIPAL DO IRACEMA,-7.5679,-40.4956,1.0,408,No,Municipal,Urban,Yes,5.0,Nordeste,2,Pernambuco,26,Araripina,2601102,Yes
4923911f-e591-33ba-bd1c-c61ab869ed80,Brazil,government,26000903,ESCOLA SITIO JATOBA,-7.5802,-40.5057,0.67,21,No,Municipal,Rural,No,0.0,Nordeste,2,Pernambuco,26,Araripina,2601102,No
a0c162ec-00e0-355f-bc61-402af2e8bcca,Brazil,government,26000938,ESCOLA ADELINO PEREIRA DE SOUZA,-7.5694,-40.4861,1.0,147,No,Municipal,Urban,No,0.0,Nordeste,2,Pernambuco,26,Araripina,2601102,Yes
5a63523b-202d-3f85-8eaa-bdbfe75e3782,Brazil,government,26001039,ESCOLA CANDIDA DOS SANTOS SILVA,-7.5324,-40.6304,1.0,41,No,Municipal,Rural,No,0.0,Nordeste,2,Pernambuco,26,Araripina,2601102,No
30dc66a1-8e48-3430-8389-cac5d44f5d8b,Brazil,government,26001101,ESCOLA PROF,-7.5776,-40.5007,1.0,323,Yes,Municipal,Urban,Yes,2.0,Nordeste,2,Pernambuco,26,Araripina,2601102,Yes
31c80c5f-29c8-33bb-b47a-29f220a28d31,Brazil,government,26001110,ESCOLA RAIMUNDO TELES DE OLIVEIRA,-7.5801,-40.5057,0.67,62,No,Municipal,Rural,No,0.0,Nordeste,2,Pernambuco,26,Araripina,2601102,No
