uuid,country,source,source_school_id,school_name,latitude,longitude,dq_score,student_count,computer_availability,school_type,school_region,internet_availability,internet_speed_Mbps,region,region_code,state,state_code,city,city_code,internet_availability_prediction
434bd0c7-f7b1-3c23-8cd5-ffde6cef9ddc,Brazil,government,12000094,ESC COLEGIO CRISTAO CRUZEIRO,-7.6274,-72.6827,1.0,767,Yes,Estadual,Urban,Yes,5.0,Norte,1,Acre,BR12,Cruzeiro do Sul,BR1200203,Yes
2f585cd2-6f59-35b2-91e2-1bec14532bf4,Brazil,government,12000108,ESC PRESIDENTE TANCREDO DE ALMEIDA NEVES,-7.6231,-72.6764,1.0,228,Yes,Estadual,Urban,Yes,5.0,Norte,1,Acre,BR12,Cruzeiro do Sul,BR1200203,Yes
2815120b-7563-3c0f-824c-8fe7f5150de1,Brazil,government,12000124,ESC 17 DE NOVEMBRO,-7.9719,-72.7549,0.67,78,No,Municipal,Rural,No,0.0,Norte,1,Acre,BR12,Cruzeiro do Sul,BR1200203,No
efd18cab-600b-3ccf-8e44-186fde44d607,Brazil,government,12000132,ESCOLA 21 DE ABRIL,-7.6405,-72.6469,1.0,151,No,Municipal,Urban,Yes,2.0,Norte,1,Acre,BR12,Cruzeiro do Sul,BR1200203,Yes
f4f3a799-49ec-3b30-83b1-115127604399,Brazil,government,12000140,ESC 06 DE AGOSTO,-7.9719,-72.7549,0.67,55,No,Municipal,Rural,No,0.0,Norte,1,Acre,BR12,Cruzeiro do Sul,BR1200203,No
9223e3a9-031b-3cf9-8aa0-fe37b1922a39,Brazil,government,12000159,ESC 7 DE SETEMBRO,-7.5934,-72.75,0.89,213,No,Estadual,Rural,Yes,5.0,Norte,1,Acre,BR12,Cruzeiro do Sul,BR1200203,Yes
c70b4f7e-4f95-3512-9091-76f1c994a415,Brazil,government,12000167,ESC ABSOLON MOREIRA,-7.6122,-72.6814,1.0,388,No,Estadual,Urban,Yes,5.0,Norte,1,Acre,BR12,Cruzeiro do Sul,BR1200203,Yes
18d628e5-7f7e-36ea-ade0-e43e2fb7b096,Brazil,government,12000183,ESC AIRTON SENA DA SILVA,-7.9719,-72.7549,0.67,86,No,Municipal,Rural,No,0.0,Norte,1,Acre,BR12,Cruzeiro do Sul,BR1200203,No
afc297ea-f180-3613-b9dc-ff66e7b59bee,Brazil,government,12000191,ESC PADRE ALFREDO NUSS,-7.9719,-72.7549,0.67,307,No,Municipal,Urban,Yes,5.0,Norte,1,Acre,BR12,Cruzeiro do Sul,BR1200203,Yes
eae6f397-1a7c-3cb6-b787-1b5f07d8a7cd,Brazil,government,12000205,ESC ANIBAL COSTA,-7.5044,-73.439,0.94,0,,Municipal,Rural,,,Norte,1,Acre,BR12,Mâncio Lima,BR1200336,No
