regionName,regionCode,stateName,stateCode,cityName,cityCode,byConnectivity.Yes,byConnectivity.No,byConnectivity.NA,schoolsConnectedCount,schoolsConnectedPercentage,schoolsWithoutConnectivityDataCount,schoolsWithoutConnectivityDataPercentage,statesCount,citiesCount,schoolsCount,studentCount,schoolsInternetAvailabilityPredictionCount,schoolsInternetAvailabilityPredictionPercentage,connectivityBySchoolRegion.Urban.Yes,connectivityBySchoolRegion.Urban.No,connectivityBySchoolRegion.Urban.NA,connectivityBySchoolRegion.Rural.Yes,connectivityBySchoolRegion.Rural.No,connectivityBySchoolRegion.Rural.NA,connectivityBySchoolType.Municipal.Yes,connectivityBySchoolType.Municipal.No,connectivityBySchoolType.Municipal.NA,connectivityBySchoolType.Estadual.Yes,connectivityBySchoolType.Estadual.No,connectivityBySchoolType.Estadual.NA,connectivityBySchoolType.Federal.Yes,connectivityBySchoolType.Federal.No,connectivityBySchoolType.Federal.NA
Centro-Oeste,5,,,,,7359,432,480,7359,89.0,480,5.8,4,467,8271,3245752,200,41.7,6074,152,116,1285,280,364,4544,356,428,2747,76,52,68,0,0
Centro-Oeste,5,Distrito Federal,53,,,676,17,6,676,96.7,6,0.9,1,1,699,529874,4,66.7,603,8,4,73,9,2,0,0,0,665,17,6,11,0,0
Centro-Oeste,5,Distrito Federal,53,Brasília,5300108,676,17,6,676,96.7,6,0.9,1,1,699,529874,4,66.7,603,8,4,73,9,2,0,0,0,665,17,6,11,0,0
Centro-Oeste,5,Goiás,52,,,3348,152,233,3348,89.7,233,6.2,1,246,3733,1251726,97,41.6,2937,80,83,411,72,150,2327,141,195,994,11,38,27,0,0
Centro-Oeste,5,Goiás,52,Abadia de Goiás,5200050,8,0,0,8,100.0,0,0.0,1,1,8,3514,0,0.0,7,0,0,1,0,0,7,0,0,1,0,0,0,0,0
Centro-Oeste,5,Goiás,52,Abadiânia,5200100,9,0,0,9,100.0,0,0.0,1,1,9,2610,0,0.0,7,0,0,2,0,0,7,0,0,2,0,0,0,0,0
Centro-Oeste,5,Goiás,52,Acreúna,5200134,12,0,1,12,92.3,1,7.7,1,1,13,4191,1,100.0,12,0,1,0,0,0,9,0,1,3,0,0,0,0,0
Centro-Oeste,5,Goiás,52,Adelândia,5200159,3,0,0,3,100.0,0,0.0,1,1,3,790,0,0.0,3,0,0,0,0,0,2,0,0,1,0,0,0,0,0
Centro-Oeste,5,Goiás,52,Alexânia,5200308,22,2,0,22,91.7,0,0.0,1,1,24,6495,0,0.0,16,2,0,6,0,0,18,2,0,4,0,0,0,0,0
Centro-Oeste,5,Goiás,52,Aloândia,5200506,2,0,0,2,100.0,0,0.0,1,1,2,386,0,0.0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Centro-Oeste,5,Goiás,52,Alto Horizonte,5200555,5,0,0,5,100.0,0,0.0,1,1,5,1726,0,0.0,5,0,0,0,0,0,4,0,0,1,0,0,0,0,0
Centro-Oeste,5,Goiás,52,Alto Paraíso de Goiás,5200605,9,0,0,9,100.0,0,0.0,1,1,9,1651,0,0.0,6,0,0,3,0,0,7,0,0,2,0,0,0,0,0
Centro-Oeste,5,Goiás,52,Alvorada do Norte,5200803,9,0,3,9,75.0,3,25.0,1,1,12,2351,2,66.7,8,0,1,1,0,2,5,0,3,4,0,0,0,0,0
Centro-Oeste,5,Goiás,52,Amaralina,5200829,5,1,1,5,71.4,1,14.3,1,1,7,645,0,0.0,2,1,0,3,0,1,4,1,1,1,0,0,0,0,0
Centro-Oeste,5,Goiás,52,Americano do Brasil,5200852,3,0,0,3,100.0,0,0.0,1,1,3,1126,0,0.0,3,0,0,0,0,0,1,0,0,2,0,0,0,0,0
Centro-Oeste,5,Goiás,52,Amorinópolis,5200902,4,0,0,4,100.0,0,0.0,1,1,4,665,0,0.0,4,0,0,0,0,0,3,0,0,1,0,0,0,0,0
Centro-Oeste,5,Goiás,52,Anhanguera,5201207,3,0,0,3,100.0,0,0.0,1,1,3,169,0,0.0,3,0,0,0,0,0,2,0,0,1,0,0,0,0,0
Centro-Oeste,5,Goiás,52,Anicuns,5201306,14,0,1,14,93.3,1,6.7,1,1,15,4048,1,100.0,10,0,1,4,0,0,8,0,0,6,0,1,0,0,0
Centro-Oeste,5,Goiás,52,Anápolis,5201108,139,0,0,139,100.0,0,0.0,1,1,139,67053,0,0.0,133,0,0,6,0,0,96,0,0,42,0,0,1,0,0
Centro-Oeste,5,Goiás,52,Aparecida de Goiânia,5201405,150,2,0,150,98.7,0,0.0,1,1,152,96543,0,0.0,150,2,0,0,0,0,94,1,0,55,1,0,1,0,0
Centro-Oeste,5,Goiás,52,Aparecida do Rio Doce,5201454,3,0,0,3,100.0,0,0.0,1,1,3,768,0,0.0,3,0,0,0,0,0,2,0,0,1,0,0,0,0,0
Centro-Oeste,5,Goiás,52,Aporé,5201504,4,0,0,4,100.0,0,0.0,1,1,4,1071,0,0.0,3,0,0,1,0,0,3,0,0,1,0,0,0,0,0
Centro-Oeste,5,Goiás,52,Aragarças,5201702,16,0,1,16,94.1,1,5.9,1,1,17,3713,1,100.0,16,0,1,0,0,0,8,0,0,8,0,1,0,0,0
Centro-Oeste,5,Goiás,52,Aragoiânia,5201801,6,1,1,6,75.0,1,12.5,1,1,8,2254,1,100.0,6,0,1,0,1,0,4,1,1,2,0,0,0,0,0
Centro-Oeste,5,Goiás,52,Araguapaz,5202155,7,1,0,7,87.5,0,0.0,1,1,8,1404,0,0.0,5,1,0,2,0,0,5,1,0,2,0,0,0,0,0
Centro-Oeste,5,Goiás,52,Araçu,5201603,2,0,1,2,66.7,1,33.3,1,1,3,632,1,100.0,2,0,1,0,0,0,1,0,0,1,0,1,0,0,0
Centro-Oeste,5,Goiás,52,Arenópolis,5202353,4,1,0,4,80.0,0,0.0,1,1,5,683,0,0.0,4,1,0,0,0,0,3,1,0,1,0,0,0,0,0
Centro-Oeste,5,Goiás,52,Aruanã,5202502,5,0,0,5,100.0,0,0.0,1,1,5,2597,0,0.0,4,0,0,1,0,0,3,0,0,2,0,0,0,0,0
Centro-Oeste,5,Goiás,52,Aurilândia,5202601,2,0,0,2,100.0,0,0.0,1,1,2,440,0,0.0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Centro-Oeste,5,Goiás,52,Avelinópolis,5202809,2,0,0,2,100.0,0,0.0,1,1,2,871,0,0.0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Centro-Oeste,5,Goiás,52,Baliza,5203104,5,0,0,5,100.0,0,0.0,1,1,5,636,0,0.0,3,0,0,2,0,0,2,0,0,3,0,0,0,0,0
Centro-Oeste,5,Goiás,52,Barro Alto,5203203,14,0,0,14,100.0,0,0.0,1,1,14,2918,0,0.0,12,0,0,2,0,0,12,0,0,2,0,0,0,0,0
Centro-Oeste,5,Goiás,52,Bela Vista de Goiás,5203302,16,0,0,16,100.0,0,0.0,1,1,16,5545,0,0.0,14,0,0,2,0,0,10,0,0,6,0,0,0,0,0
Centro-Oeste,5,Goiás,52,Bom Jardim de Goiás,5203401,4,0,0,4,100.0,0,0.0,1,1,4,1310,0,0.0,4,0,0,0,0,0,1,0,0,3,0,0,0,0,0
Centro-Oeste,5,Goiás,52,Bom Jesus de Goiás,5203500,13,1,0,13,92.9,0,0.0,1,1,14,5177,0,0.0,13,1,0,0,0,0,11,1,0,2,0,0,0,0,0
Centro-Oeste,5,Goiás,52,Bonfinópolis,5203559,7,0,0,7,100.0,0,0.0,1,1,7,1932,0,0.0,7,0,0,0,0,0,5,0,0,2,0,0,0,0,0
Centro-Oeste,5,Goiás,52,Bonópolis,5203575,4,0,0,4,100.0,0,0.0,1,1,4,744,0,0.0,3,0,0,1,0,0,3,0,0,1,0,0,0,0,0
Centro-Oeste,5,Goiás,52,Brazabrantes,5203609,3,2,0,3,60.0,0,0.0,1,1,5,723,0,0.0,3,1,0,0,1,0,2,1,0,1,1,0,0,0,0
Centro-Oeste,5,Goiás,52,Britânia,5203807,5,1,4,5,50.0,4,40.0,1,1,10,1363,4,100.0,5,0,1,0,1,3,3,1,3,2,0,1,0,0,0
Centro-Oeste,5,Goiás,52,Buriti Alegre,5203906,8,0,1,8,88.9,1,11.1,1,1,9,2235,1,100.0,7,0,1,1,0,0,6,0,1,2,0,0,0,0,0
Centro-Oeste,5,Goiás,52,Buriti de Goiás,5203939,3,0,0,3,100.0,0,0.0,1,1,3,609,0,0.0,3,0,0,0,0,0,2,0,0,1,0,0,0,0,0
Centro-Oeste,5,Goiás,52,Buritinópolis,5203962,4,0,0,4,100.0,0,0.0,1,1,4,787,0,0.0,3,0,0,1,0,0,3,0,0,1,0,0,0,0,0
Centro-Oeste,5,Goiás,52,Cabeceiras,5204003,6,3,3,6,50.0,3,25.0,1,1,12,2154,2,66.7,5,2,2,1,1,1,3,3,2,3,0,1,0,0,0
Centro-Oeste,5,Goiás,52,Cachoeira Alta,5204102,8,0,0,8,100.0,0,0.0,1,1,8,2935,0,0.0,7,0,0,1,0,0,4,0,0,4,0,0,0,0,0
Centro-Oeste,5,Goiás,52,Cachoeira Dourada,5204250,6,0,1,6,85.7,1,14.3,1,1,7,1777,1,100.0,6,0,1,0,0,0,5,0,1,1,0,0,0,0,0
Centro-Oeste,5,Goiás,52,Cachoeira de Goiás,5204201,2,0,0,2,100.0,0,0.0,1,1,2,276,0,0.0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Centro-Oeste,5,Goiás,52,Caiapônia,5204409,11,3,3,11,64.7,3,17.6,1,1,17,2871,3,100.0,10,0,1,1,3,2,7,3,2,4,0,1,0,0,0
Centro-Oeste,5,Goiás,52,Caldas Novas,5204508,42,0,0,42,100.0,0,0.0,1,1,42,18273,0,0.0,40,0,0,2,0,0,33,0,0,9,0,0,0,0,0
